rule_id,entity_id,entity_origin,target_origin,compound_name,synonyms,compound_class,subclass,formula,exact_mass,ion_mode,adduct,reported_precursor_mz,reported_fragments,reported_neutral_losses,literature_status,derivation_id,evidence_ids,review_status,review_note
cmp_051119b767bcb0,entity_051119b767bcb060,reported,reported,Isolampranthin-I,,betalain,,C33H32N2O15,696.18026833377,positive,[M+H]+,697.1875,253.09;194.04;166.05;178.05;176.07;150.05;138.05,,reported,,chunk_8228c6baaa4de3e1383f,candidate,Structured compound record mined from local corpus text.
cmp_f8ca521f3a3d5f,entity_f8ca521f3a3d5f1b,reported,reported,Isohylocerenin,,betalain,,C30H34N2O17,694.18574763737,positive,[M+H]+,695.193,253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;345.1;299.1;297.08;281.09;255.11;666.19;665.18;663.2;662.2;661.19;660.18;659.17;658.16;657.16;655.2;653.18;652.17;651.2;650.2;649.19;648.18;647.17;645.19;644.18;643.18;642.17;641.16;639.15;637.19;635.21;633.19;632.18;631.18;630.17;629.16;627.18;625.19;623.17;622.16;621.19;620.18;619.18;617.2;616.19;615.18;614.17;613.17;609.19;607.18;606.17;605.16;604.15;603.18;602.17;601.17;593.2;591.18;589.17;587.15;575.19;573.17;571.16;569.14;551.15;550.14;549.14;535.16;534.15;533.14;532.13;531.12;526.16;523.16;522.15;521.14;519.16;517.15;516.14;515.13;514.12;513.11;511.16;509.14;507.16;505.15;504.14;503.13;502.16;501.15;500.14;499.13;498.13;497.12;495.1;493.15;491.13;489.15;488.14;487.13;486.14;485.13;484.14;483.14;482.13;481.15;479.13;478.12;477.15;476.14;475.13;471.14;470.14;469.13;468.13;467.12;465.15;463.13;461.12;460.11;459.14;458.13;457.13;456.15;455.14;454.13;453.14;452.13;451.12;450.12;447.14;445.12;443.11;441.14;440.13;430.13;429.14;427.11;425.14;424.14;423.13;417.14;415.12;414.12;413.14;412.14;411.13;401.14;399.13;398.12;397.11;396.11;395.13;394.13;393.12;389.1;388.09;387.08;386.07;385.15;383.13;381.12;379.1;375.12;373.1;372.1;371.09;370.08;369.07;361.1;360.1;359.12;358.11;357.11;356.1;355.09;354.08;353.08;351.06;349.1;347.09;345.11;343.13;342.09;341.11;340.1;339.1;338.09;337.08;335.09;331.09;329.11;327.1;326.09;325.09;324.08;323.08;319.09;317.08;316.07;315.1;314.09;313.08;307.08;306.07;303.1;301.08;300.07;299.07;298.06;297.1;287.1;285.1;284.08;283.07;282.06;281.08;280.07;279.09;273.1;271.08;270.07;269.09;268.09;267.06;265.08;264.07;263.07;262.06;255.09;253.08;252.06;251.07;250.08;249.05;247.07;245.06;237.09;235.07;233.06;231.04;223.07;211.07;207.08;205.06;196.06;193.04;182.08;180.04;179.03;177.04;165.05;164.05;163.04;147.04;146.04;135.04;134.04;130.04;123.04;119.05;111.04;109.03;108.02;107.05;106.04,,reported,,chunk_39e7f9c94aacbc26cb22;chunk_bf27760df9cc5cd60a6b,candidate,Structured compound record mined from local corpus text.
cmp_c900488f4de263,entity_c900488f4de26327,reported,reported,17-decarboxy-isophyllocactin,,betalain,,C26H28N2O14,592.15405358528,positive,[M+H]+,593.1613,345.1;299.1;297.08;281.09;255.11;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06;564.16;563.15;561.17;560.16;559.16;558.15;557.14;556.13;555.12;553.17;551.15;550.14;549.17;548.16;547.16;546.15;545.14;543.16;542.15;541.15;540.14;539.13;537.11;535.16;533.18;531.16;530.15;529.15;528.14;527.13;525.15;523.16;521.14;520.13;519.16;518.15;517.15;515.17;514.16;513.15;512.14;511.13;507.16;506.15;505.15;504.14;503.13;502.12;501.15;500.14;499.13;491.17;490.16;489.15;488.14;487.13;485.12;479.17;478.16;477.15;475.17;473.16;472.15;471.14;470.13;469.12;468.11;467.11;465.15;463.17;461.16;460.15;459.14;457.16;455.14;454.14;453.13;451.11;449.16;447.14;445.16;444.11;443.14;442.1;441.09;437.16;435.14;434.13;433.16;432.15;431.14;429.1;428.09;427.09;426.1;425.1;424.09;423.08;421.16;419.14;417.13;416.12;415.15;414.14;413.13;412.1;411.09;410.08;409.08;408.09;406.08;403.15;401.13;399.12;398.11;397.1;396.09;395.1;394.09;393.08;392.07;385.14;383.1;382.09;381.11;380.1;372.09;371.1;367.1;366.09;365.09;359.1;358.11;357.08;356.07;355.1;354.09;353.09;345.11;344.1;343.09;342.09;341.09;340.1;339.07;338.09;337.09;336.08;335.08;331.13;329.11;328.11;327.1;326.09;325.08;324.08;323.08;321.06;320.08;317.11;316.11;315.13;313.12;312.11;311.1;310.09;309.09;307.08;306.07;305.11;303.1;301.12;299.14;298.09;297.12;295.11;294.1;293.09;291.1;287.1;285.1;283.11;282.1;280.08;279.09;275.1;273.09;272.08;271.08;270.07;269.09;268.09;267.09;265.06;259.11;257.09;256.08;255.09;254.07;253.07;252.06;250.08;249.08;243.11;241.1;240.09;239.08;238.07;237.09;236.08;235.06;227.12;225.1;223.07;221.09;220.08;219.08;218.07;209.09;207.08;205.06;203.08;201.07;196.06;193.1;192.03;191.08;189.07;187.05;182.08;180.04;179.08;177.04;167.08;165.05;164.05;163.09;161.07;152.07;147.04;146.04;136.08;135.04;134.04;130.04;123.04;119.05;111.04;109.03;108.02;107.05;106.04,,reported,,chunk_39e7f9c94aacbc26cb22;chunk_8d9c86c3a5c453630c44,candidate,Structured compound record mined from local corpus text.
cmp_14a8c09457d2f7,entity_14a8c09457d2f7f8,reported,reported,17-decarboxy-isohylocerenin,,betalain,,C29H34N2O15,650.19591839823,positive,[M+H]+,651.2032,345.1;299.1;297.08;281.09;255.11;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06;622.2;621.19;619.21;618.21;617.2;616.19;615.18;614.17;613.17;611.21;609.19;608.18;607.21;606.21;605.2;604.19;603.18;601.2;600.19;599.19;598.18;597.17;595.16;593.2;591.22;589.2;588.19;587.19;586.18;585.17;583.19;581.2;579.18;578.17;577.2;576.19;575.19;573.21;572.2;571.19;570.18;569.18;565.2;563.19;562.18;561.17;560.16;559.19;558.18;557.18;549.21;547.19;545.18;543.16;531.2;529.18;527.17;526.16;525.15;513.15;507.16;506.15;505.15;502.16;500.14;499.13;491.17;490.16;489.15;488.14;487.13;486.14;485.13;484.14;483.14;482.13;481.12;479.17;478.16;477.15;475.17;473.16;472.15;471.14;470.14;469.13;468.13;467.12;465.15;463.17;461.16;460.15;459.14;457.16;456.15;455.14;454.13;453.13;452.13;451.12;450.12;449.16;447.14;445.16;444.15;443.14;442.14;441.14;440.13;437.16;435.14;434.13;433.16;432.15;431.14;430.13;429.14;427.15;426.14;425.14;424.14;423.13;421.16;419.14;417.14;416.12;415.12;414.12;413.14;412.14;411.13;403.15;401.14;399.13;398.12;397.11;396.11;395.13;394.13;393.12;385.15;383.13;381.12;379.1;358.11;356.1;355.09;345.11;344.1;343.09;342.09;341.09;340.1;338.09;337.08;331.13;329.11;328.11;327.1;326.09;325.08;324.08;323.08;317.11;316.11;315.13;313.12;312.11;311.1;310.09;309.09;307.08;306.07;305.11;303.1;301.12;299.14;298.09;297.12;295.11;293.09;291.1;287.1;285.1;283.11;282.1;280.08;279.09;275.1;273.09;272.08;271.08;270.07;269.09;268.09;267.09;259.11;257.09;256.08;255.09;254.07;253.07;252.06;250.08;249.08;243.11;241.1;240.09;239.08;238.07;237.09;236.08;235.06;227.12;225.1;223.07;221.09;220.08;219.08;218.07;209.09;207.08;205.06;203.08;201.07;196.06;193.1;191.08;189.07;187.05;182.08;180.04;179.08;177.04;167.08;165.05;164.05;163.09;161.07;152.07;147.04;146.04;136.08;135.04;134.04;130.04;123.04;119.05;111.04;109.03;108.02;107.05;106.04,,reported,,chunk_39e7f9c94aacbc26cb22;chunk_315fbb3caa44e4176257,candidate,Structured compound record mined from local corpus text.
cmp_761c9e2f37b6f9,entity_761c9e2f37b6f936,reported,reported,2-descarboxy-phyllocactin,,betalain,,C26H28N2O14,592.15405358528,positive,[M+H]+,593.1613,345.1;299.1;297.08;281.09;255.11;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06,,reported,,chunk_70f8c51bdb8f198362e3,candidate,Structured compound record mined from local corpus text.
cmp_882f9bb245f459,entity_882f9bb245f4597d,reported,reported,2-descarboxy-isophyllocactin,,betalain,,C26H28N2O14,592.15405358528,positive,[M+H]+,593.1613,345.1;299.1;297.08;281.09;255.11;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06,,reported,,chunk_449079aa1e56ca82affc,candidate,Structured compound record mined from local corpus text.
cmp_348f8206e0f746,entity_348f8206e0f74627,reported,reported,2-decarboxy-xanneobetanin,,betalain,,C23H22N2O11,502.12235953319,positive,[M+H]+,503.1296,341.07;327.06;313.08;295.07;277.07;267.07;253.06;251.08;221.07;195.09;132.04;106.06,,reported,,chunk_14d78bace3360ff7fd2a,candidate,Structured compound record mined from local corpus text.
cmp_056ea2b6ee3461,entity_056ea2b6ee346128,reported,reported,Neophyllocactin,,betalain,,C27H26N2O16,634.12823275996,positive,[M+H]+,635.1355,255.08;253.09;194.04;178.05;176.07;166.05;150.05;132.04;606.13;605.12;603.15;602.14;601.13;600.12;599.11;598.11;597.1;595.14;593.12;592.12;591.15;590.14;589.13;588.12;587.11;585.14;584.13;583.12;582.11;581.1;579.09;577.13;575.15;573.14;572.13;571.12;570.11;569.1;567.12;565.13;563.11;562.11;561.14;560.13;559.12;557.14;556.13;555.12;554.12;553.11;549.14;548.13;547.12;546.11;545.1;544.1;543.12;542.12;541.11;533.14;532.13;531.12;530.12;529.11;527.09;521.14;520.13;519.12;515.13;514.12;513.11;512.11;511.1;509.08;507.12;505.15;503.13;502.12;501.11;497.12;496.11;495.1;493.09;491.13;489.11;487.13;486.13;485.12;484.11;483.1;479.13;477.11;476.11;474.13;473.12;469.12;468.12;467.11;461.12;459.1;458.1;456.12;455.11;454.1;443.11;442.1;441.09;439.11;438.1;437.1;429.1;428.09;427.09;426.1;425.1;424.09;423.08;417.09;415.08;413.11;412.1;411.09;410.08;409.08;408.09;406.08;399.09;398.11;397.1;396.09;395.1;394.09;393.08;392.07;387.08;386.07;385.07;384.06;383.1;382.09;380.1;373.1;371.09;370.08;369.07;368.06;367.06;366.09;365.09;359.1;358.08;357.11;356.07;355.09;354.09;353.08;352.07;351.09;347.09;345.07;343.1;342.09;341.09;340.07;339.07;338.09;337.08;336.08;335.08;333.07;329.08;327.1;325.08;324.08;323.08;321.06;320.08;317.08;315.06;314.05;313.08;312.07;307.08;306.07;301.08;299.07;298.06;297.1;294.1;285.1;283.07;282.06;279.06;278.05;277.05;273.1;271.08;270.07;268.09;267.09;265.05;263.07;261.05;255.09;253.07;252.06;251.07;250.08;249.05;247.03;237.08;235.07;233.06;231.04;221.06;209.06;207.05;206.03;193.04;192.03;191.06;181.05;180.04;179.03;177.04;167.07;165.05;164.05;163.04;147.04;146.04;145.05;135.04;134.04;130.04;123.04;119.05;111.04;109.03;108.02;107.05;106.04,,reported,,chunk_14d78bace3360ff7fd2a;chunk_0adee604e918694f6d82,candidate,Structured compound record mined from local corpus text.
cmp_046a01a077a568,entity_046a01a077a56857,reported,reported,17-decarboxy-neophyllocactin,,betalain,,C26H26N2O14,590.13840352082,positive,[M+H]+,591.1457,343.09;299.1;297.08;281.09;269.09;255.08;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06;572.13;571.12;563.15;562.14;561.14;560.13;559.16;558.11;557.14;556.13;555.12;547.16;546.15;545.14;543.12;541.15;539.13;537.11;533.14;532.13;531.12;530.15;529.15;528.14;527.13;521.14;519.12;515.13;513.11;511.13;505.15;504.14;503.13;501.11;489.15;488.14;487.13;486.13;485.12;477.15;475.13;474.13;473.12;472.11;471.14;470.13;469.12;468.11;461.16;460.11;459.14;457.12;456.12;455.11;453.13;452.12;451.11;450.1;445.12;444.11;443.14;442.1;441.09;440.12;436.12;434.11;433.12;432.09;431.11;429.09;428.12;427.11;426.1;425.1;424.09;415.11;414.11;413.1;403.11;401.1;400.09;399.08;398.11;397.1;385.1;384.1;383.09;382.11;373.1;372.09;371.09;369.07;366.12;364.1;359.1;358.11;357.08;356.1;355.09;354.08;348.11;346.09;342.08;341.08;340.1;339.1;338.09;337.08;336.07;329.11;327.1;326.09;325.08;323.07;315.1;313.12;311.1;309.09;307.07;298.09;297.09;283.11;271.07;266.06;265.06;263.04;261.02;257.09;251.08;250.07;249.06;248.05;247.04;245.03;236.05;235.04;234.06;233.07;231.05;221.06;220.06;219.05;217.03;215.06;213.04;207.05;206.04;205.06;204.07;203.02;202.05;201.04;196.06;193.07;191.06;190.05;189.04;188.03;187.02;182.08;180.07;179.06;177.04;175.05;173.04;171.03;165.05;163.06;161.04;159.03;158.02;157.01;148.04;147.03;145.05;143.03;141.02;133.01;131.03;130.03;129.02;127.04;122.02;121.05;120.04;119.03;117.02;116.01;113.02;105.02;104.01;103;101.02,,reported,,chunk_d12aa39677775155a72d;chunk_31399bbdeee90281f9cd,candidate,Structured compound record mined from local corpus text.
cmp_7600e0ad63078c,entity_7600e0ad63078c0f,reported,reported,Neohylocerenin,,betalain,,C30H32N2O17,692.17009757291,positive,[M+H]+,693.1774,255.08;253.09;194.04;178.05;176.07;166.05;150.05;132.04;343.09;299.1;297.08;281.09;269.09;664.17;663.17;661.19;660.18;659.17;658.16;657.16;656.15;655.14;653.18;651.17;650.16;649.19;648.18;647.17;646.16;645.16;643.18;642.17;641.16;640.15;639.15;637.13;635.17;633.19;631.18;630.17;629.16;628.15;627.15;625.17;623.17;621.16;620.15;619.18;618.17;617.16;615.18;614.17;613.17;612.16;611.15;607.18;605.16;604.15;603.15;602.14;601.17;600.16;599.15;591.18;589.17;587.15;585.14;573.17;571.16;569.14;567.12;549.14;548.13;547.12;533.14;532.13;531.12;530.12;529.11;521.14;520.13;519.12;515.13;514.12;513.11;512.11;511.1;509.14;507.12;505.15;503.13;502.12;501.11;500.14;499.13;497.12;496.11;495.1;493.09;491.13;489.11;487.13;486.14;485.13;484.14;483.14;482.13;481.12;479.13;477.11;476.11;474.13;473.12;471.15;470.14;469.13;468.13;467.12;466.13;464.12;461.12;459.1;458.1;457.13;456.15;455.14;454.13;453.14;452.13;451.12;450.12;443.11;441.14;440.13;438.14;429.14;425.14;424.14;423.13;417.14;415.12;414.12;413.14;412.14;411.13;401.14;399.13;398.12;397.11;396.11;395.13;394.13;393.12;387.08;386.07;385.07;384.06;383.13;381.12;379.1;373.1;371.09;370.08;369.07;368.06;367.06;359.09;358.08;357.11;356.1;355.09;354.08;353.08;352.07;351.09;347.09;345.07;342.09;341.08;340.07;339.1;338.09;337.08;333.07;329.08;327.1;325.08;324.08;323.08;320.08;317.08;315.06;314.05;313.08;312.07;307.08;306.07;301.08;299.07;298.06;297.1;294.1;291.11;289.09;285.1;283.07;282.06;279.06;278.05;273.1;271.08;270.07;268.09;267.09;265.05;263.07;261.05;255.09;253.07;252.06;251.07;250.08;249.05;247.03;237.08;235.07;233.06;231.04;221.06;209.06;207.05;206.03;193.04;192.03;191.06;181.05;180.04;179.03;177.04;167.07;165.05;164.05;163.04;147.04;146.04;145.05;135.04;134.04;130.04;123.04;119.05;111.04;109.03;108.02;107.05;106.04,,reported,,chunk_e41fc5d1900463545fa3;chunk_7bc8e8b0de16e0b8ec6a,candidate,Structured compound record mined from local corpus text.
cmp_beae657d7fe459,entity_beae657d7fe45928,reported,reported,17-decarboxy-neohylocerenin,,betalain,,C29H32N2O15,648.18026833377,positive,[M+H]+,649.1875,343.09;299.1;297.08;281.09;269.09;255.08;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06;630.17;629.16;621.19;620.18;619.18;618.17;617.2;616.15;615.18;614.17;613.17;605.2;604.19;603.18;602.17;601.17;599.19;597.17;595.16;591.15;590.17;589.17;588.16;587.19;586.18;585.17;583.16;579.18;577.17;575.15;573.14;571.16;570.15;569.18;567.16;563.15;561.17;559.16;558.15;556.13;547.16;546.15;545.14;543.16;541.15;531.12;529.15;527.13;526.16;517.15;515.13;513.11;510.16;508.14;505.15;504.14;503.13;502.16;501.15;500.14;499.13;498.16;494.17;492.15;490.13;489.15;487.13;486.16;485.12;484.14;482.13;477.15;475.13;474.13;473.12;472.11;471.14;469.12;461.16;460.11;459.14;457.12;456.15;455.11;453.13;451.11;445.12;444.12;443.14;442.1;441.13;433.12;431.11;430.13;429.14;428.12;427.11;426.11;425.1;417.14;415.11;414.11;413.1;403.11;401.1;400.09;399.08;397.1;385.1;384.1;383.09;382.11;373.1;371.09;369.07;366.12;364.1;358.11;356.1;355.09;354.08;348.11;346.09;342.08;341.08;340.1;339.1;338.09;337.08;336.07;329.11;327.1;325.08;324.11;323.1;321.08;319.07;315.1;313.12;311.1;309.12;308.11;307.1;306.09;305.09;303.07;298.09;297.09;294.09;293.09;291.11;289.09;283.11;278.1;277.09;275.11;273.1;271.07;265.09;264.08;263.08;261.06;259.08;257.09;251.11;249.1;248.09;247.08;246.07;245.07;243.09;235.08;234.06;233.06;231.09;229.07;221.06;220.06;219.09;217.07;216.06;215.06;205.06;204.07;203.06;202.05;201.08;199.06;196.06;191.06;189.08;188.07;187.06;182.08;180.07;179.06;177.08;175.06;174.05;173.04;165.05;163.06;162.05;161.04;159.07;157.05;148.04;147.07;146.02;145.05;144.04;143.03;135.07;134.06;133.05;131.03;129.05;128.05;127.04;122.02;121.05;120.04;119.03;118.06;117.05;116.05;115.04;113.02;111.04;109.03;105.02;104.05;103.04;102.03;101.06;100.05,,reported,,chunk_e41fc5d1900463545fa3;chunk_85e45212a9ec2c7d3cc9,candidate,Structured compound record mined from local corpus text.
cmp_0dee20e025819f,entity_0dee20e025819fe2,reported,reported,"2,17-bidecarboxy-xanneobetanin",,betalain,,C22H22N2O9,458.13253029405,positive,[M+H]+,459.1398,297.08;269.09;251.08;223.08;195.09;133.08,,reported,,chunk_e26aed64faea75f4c0ed,candidate,Structured compound record mined from local corpus text.
cmp_8fc505773e8ec1,entity_8fc505773e8ec1e5,reported,reported,Lampranthin II,,betalain,,C34H34N2O16,726.1908330178,positive,[M+H]+,727.1981,253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;389.09;345.1;343.09;299.1;297.08;281.09;269.09;255.11;698.2;697.19;695.21;694.2;693.19;692.18;691.18;690.17;689.16;687.2;685.19;684.18;683.21;682.2;681.19;680.18;679.18;677.2;676.19;675.18;674.17;673.17;671.15;669.19;667.21;666.21;665.2;664.19;663.18;662.17;661.17;659.19;657.19;655.18;654.17;653.2;652.19;651.18;649.2;648.19;647.19;646.18;645.17;641.2;639.18;638.17;637.17;636.16;635.19;634.18;633.17;623.19;621.17;619.16;605.18;603.16;601.15;558.16;545.15;544.14;542.17;540.15;534.16;533.14;532.14;531.14;528.15;527.14;519.15;518.14;517.15;516.15;515.13;514.13;513.11;506.17;505.15;504.14;503.13;501.14;500.13;499.13;498.13;497.12;496.12;495.1;493.15;491.13;489.15;488.16;487.13;486.14;485.12;483.13;482.12;481.12;479.11;476.16;475.13;474.14;473.14;472.14;471.14;470.13;469.12;464.16;463.13;462.14;461.14;460.11;459.14;458.13;457.12;456.14;455.13;449.14;447.13;446.12;445.12;444.14;443.13;431.13;430.13;429.12;428.11;427.11;426.13;425.12;419.11;417.09;413.12;411.11;389.1;388.09;387.08;386.07;375.12;373.1;372.1;371.09;370.08;369.07;364.1;361.1;360.1;359.12;357.11;356.1;355.09;354.08;353.08;351.06;349.1;347.09;345.11;344.1;343.13;342.08;341.11;340.1;339.1;338.09;337.08;335.09;331.09;329.11;327.1;326.09;325.08;324.08;323.08;322.09;321.1;320.08;319.09;317.08;316.07;315.1;314.09;313.08;307.08;306.07;303.1;301.08;300.07;299.07;298.06;297.09;294.1;287.1;285.09;284.08;283.07;282.06;281.08;280.07;279.09;271.11;268.08;267.06;265.08;264.07;263.07;262.06;255.09;253.08;252.06;251.07;250.08;249.05;247.07;245.06;237.09;235.07;233.06;231.04;223.07;222.06;220.06;211.07;209.06;208.05;207.08;205.06;196.06;195.05;193.04;192.03;191.05;182.08;181.05;180.04;179.03;177.04;176.03;167.07;166.09;165.05;164.05;163.04;147.04;146.04;145.05;135.04;134.04;130.04;124.04;123.04;119.05;111.04;110.06;109.03;108.02;107.05;106.04,,reported,,chunk_e26aed64faea75f4c0ed;chunk_970baaeef6abaec64050,candidate,Structured compound record mined from local corpus text.
cmp_a1ede7cb4aa4ff,entity_a1ede7cb4aa4fff0,reported,reported,II,,betalain,,C34H34N2O16,726.1908330178,positive,[M+H]+,727.1981,253.09;194.04;166.05;178.05;176.07;150.05;138.05;255.08;132.04,,reported,,chunk_e26aed64faea75f4c0ed;chunk_cf0fd7aeea8ebdcd5021;chunk_940aff9671dcad0911d8,candidate,Structured compound record mined from local corpus text.
cmp_7048300dc22a0e,entity_7048300dc22a0e65,reported,reported,2-decarboxy-neohylocerenin,,betalain,,C29H32N2O15,648.18026833377,positive,[M+H]+,649.1875,343.09;299.1;297.08;281.09;269.09;255.08;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06;630.17;629.16;623.17;621.19;620.15;619.18;618.17;617.2;616.19;615.18;614.17;613.17;607.18;605.2;604.19;603.18;602.17;601.17;600.16;599.19;597.17;595.16;591.15;589.17;588.16;587.19;585.17;583.16;575.15;573.14;571.16;570.15;569.18;567.16;563.15;561.14;559.16;558.15;556.13;547.16;546.15;545.14;543.16;541.15;531.12;529.15;527.13;517.15;513.11;505.15;504.14;503.13;491.13;489.15;488.14;487.13;486.13;485.12;482.17;479.13;477.11;475.13;474.13;473.12;472.11;471.14;470.13;469.12;467.11;466.17;464.16;461.16;460.11;459.1;458.17;457.12;456.15;455.14;454.13;453.13;451.11;450.18;448.16;446.14;445.12;444.12;443.14;442.17;441.14;440.16;438.14;432.15;431.11;430.13;429.14;428.16;427.11;426.11;425.1;424.16;423.13;422.14;420.13;417.14;415.11;414.11;413.1;412.14;411.13;409.1;403.11;401.1;400.09;399.08;397.1;385.1;384.1;383.09;373.1;371.09;369.07;355.09;354.08;342.08;341.08;338.12;329.11;327.1;326.09;325.08;324.11;323.1;322.09;321.08;320.11;319.07;317.08;315.06;314.12;313.08;312.11;311.1;309.12;308.11;307.1;306.09;305.09;303.07;302.1;301.08;300.11;298.06;297.1;296.11;295.1;294.1;293.09;291.11;289.09;287.08;286.09;285.1;283.07;282.1;279.09;278.1;277.09;276.09;275.11;273.1;271.08;268.08;267.09;265.09;264.08;263.08;261.06;259.08;257.1;255.09;253.07;251.11;249.1;248.09;247.08;246.07;245.07;243.09;235.08;234.06;233.06;231.09;229.07;221.06;220.05;219.09;217.07;216.06;215.06;209.06;205.07;203.06;201.08;199.06;192.03;191.06;189.08;188.07;187.06;179.06;177.08;175.06;174.05;173.04;166.01;165.08;163.06;162.05;161.04;159.07;157.05;152.07;151.06;149.04;147.07;146.02;145.05;144.04;143.03;138.09;136.08;135.07;134.06;133.05;131.03;129.05;128.05;127.04;126.03;124.04;123.04;122.06;121.06;120.04;119.03;118.06;117.05;116.05;115.04;113.02;111.04;110.06;109.03;108.04;107.05;105.02;104.05;103.04;102.03;101.06;100.05,,reported,,chunk_d766910b32669ee3ebd6;chunk_4fb607bb6eeed6d5439b,candidate,Structured compound record mined from local corpus text.
cmp_9f3b8168ffdc7c,entity_9f3b8168ffdc7c04,reported,reported,2-decarboxy-neophyllocactin,,betalain,,C26H26N2O14,590.13840352082,positive,[M+H]+,591.1457,343.09;299.1;297.08;281.09;269.09;255.08;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06;572.13;571.12;565.13;563.15;562.11;561.14;560.13;559.16;558.15;557.14;556.13;555.12;554.12;553.11;549.14;547.16;546.15;545.14;544.13;543.12;542.12;541.15;539.13;537.11;531.12;530.15;529.15;528.14;527.13;517.11;513.11;511.13;505.15;504.14;503.13;502.12;501.11;491.13;489.15;488.14;487.13;486.13;485.12;484.11;479.13;477.11;475.13;474.13;473.12;472.11;471.14;470.13;469.12;467.11;463.13;461.16;460.11;459.1;458.1;457.12;456.12;455.11;453.13;451.11;449.12;447.1;445.12;444.12;443.14;442.1;441.09;439.11;433.12;431.11;430.1;429.09;427.11;426.11;425.1;424.12;419.11;415.11;414.11;413.1;411.12;409.1;408.13;406.11;403.11;401.1;400.12;399.08;398.11;397.1;396.09;395.09;390.12;389.1;388.1;386.11;385.1;384.13;383.09;382.11;380.1;379.09;374.11;373.1;372.09;371.09;370.11;369.07;368.1;367.1;366.12;365.09;364.1;362.09;359.1;357.08;356.07;355.09;354.08;353.09;342.08;341.08;338.12;329.11;327.1;326.09;325.08;324.07;320.11;317.08;315.06;314.12;313.08;312.11;311.1;302.1;301.08;300.11;298.06;297.1;296.11;294.1;286.09;285.1;283.07;282.1;279.09;278.1;276.09;273.1;268.08;267.09;266.06;265.06;264.05;263.04;261.02;255.09;251.08;250.07;249.06;248.05;247.04;245.03;237.06;236.05;235.04;234.06;233.07;232.06;231.05;230.04;229.03;225.06;221.06;220.06;219.05;218.04;217.03;215.06;213.04;209.06;207.05;206.04;205.03;204.06;203.02;202.05;201.04;197.04;195.03;193.07;192.03;191.06;190.05;189.04;188.03;187.02;180.06;179.06;177.04;175.06;174.05;173.04;172.04;171.03;170.02;169.01;166.01;165.08;163.06;162.05;161.04;160.04;159.03;158.02;157.01;155.03;153.02;152.07;151.06;149.04;147.03;145.05;143.03;141.02;138.09;136.08;135.04;134.06;133.01;131.03;130.03;129.02;127.04;125.02;124.04;123.04;122.06;121.06;120.04;119.03;118.03;117.02;116.01;115;113.02;111.04;110.06;108.04;107.05;105.02;104.01;103;102.03;101.02;100.02,,reported,,chunk_d766910b32669ee3ebd6;chunk_044c193a6767e7277818,candidate,Structured compound record mined from local corpus text.
cmp_a0f01547da5887,entity_a0f01547da5887e3,reported,reported,"2,15,17-tridecarboxy-xanneobetanin",,betalain,,C21H22N2O7,414.14270105491,positive,[M+H]+,415.1499,415.14;355.12;347.09;285.09;185.04;143.02,,reported,,chunk_cf0fd7aeea8ebdcd5021,candidate,Structured compound record mined from local corpus text.
cmp_7e0b34cb28b9a1,entity_7e0b34cb28b9a141,reported,reported,Melocactin,,betalain,,C30H36N2O18,712.1963123214,positive,[M+H]+,713.2036,253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;389.09;345.1;343.09;299.1;297.08;281.09;269.09;255.11,,reported,,chunk_cf0fd7aeea8ebdcd5021;chunk_31d0d2fbf9fba6cec8de,candidate,Structured compound record mined from local corpus text.
cmp_f4d69e6a9fb9e3,entity_f4d69e6a9fb9e3fb,reported,reported,Isomelocactin,,betalain,,C30H36N2O18,712.1963123214,positive,[M+H]+,713.2036,253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;389.09;345.1;343.09;299.1;297.08;281.09;269.09;255.11,,reported,,chunk_a4497fc97806221c9c82;chunk_31d0d2fbf9fba6cec8de,candidate,Structured compound record mined from local corpus text.
cmp_306e797a69422e,entity_306e797a69422e62,reported,reported,Apiocactin,,betalain,,C29H34N2O17,682.18574763737,positive,[M+H]+,683.193,253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;389.09;345.1;343.09;299.1;297.08;281.09;269.09;255.11,,reported,,chunk_a4497fc97806221c9c82,candidate,Structured compound record mined from local corpus text.
cmp_8a21fdc9e74cd3,entity_8a21fdc9e74cd3fb,reported,reported,Isoapiocactin,,betalain,,C29H34N2O17,682.18574763737,positive,[M+H]+,683.193,253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;389.09;345.1;343.09;299.1;297.08;281.09;269.09;255.11,,reported,,chunk_a1fe7e2a304735ee39b6,candidate,Structured compound record mined from local corpus text.
